iter	RMSE
0	1.422783407
1	1.408571261
2	1.392912897
3	1.376858808
4	1.362257579
5	1.348169201
6	1.335465764
7	1.32161827
8	1.310610681
9	1.304717591
10	1.292045587
11	1.279971926
12	1.267095899
13	1.25663752
14	1.247896132
15	1.237165915
16	1.226600389
17	1.215792733
18	1.206870679
19	1.197089756
20	1.187164606
21	1.179383658
22	1.169981233
23	1.16199899
24	1.15398966
25	1.146529569
26	1.138609043
27	1.130565566
28	1.120814715
29	1.111961714
30	1.104783096
31	1.097248036
32	1.089717348
33	1.081822971
34	1.075037799
35	1.069322571
36	1.063990813
37	1.057956163
38	1.05124462
39	1.047456042
40	1.039385653
41	1.033706487
42	1.028977723
43	1.025421483
44	1.022385336
45	1.017284414
46	1.012415809
47	1.006118681
48	1.002407943
49	0.9960043386
50	0.9934124557
51	0.9876326407
52	0.9834768626
53	0.979415214
54	0.9740302822
55	0.971001857
56	0.9661431683
57	0.9648525515
58	0.9608091265
59	0.9576702875
60	0.9529165278
61	0.9498389571
62	0.9458642431
63	0.9434615396
64	0.9387631625
65	0.9341985218
66	0.9309080385
67	0.928362782
68	0.9252731738
69	0.9232081942
70	0.9207672679
71	0.917884607
72	0.9139400444
73	0.9120910192
74	0.9088186287
75	0.9062161292
76	0.9043019154
77	0.9005278471
78	0.896375812
79	0.8908956292
80	0.8880457295
81	0.8851505986
82	0.8829491491
83	0.8803053444
84	0.8774980309
85	0.8765304654
86	0.8742463931
87	0.871073865
88	0.8686271961
89	0.8668159566
90	0.8628040617
91	0.8612691706
92	0.8580133518
93	0.8543894515
94	0.8527120679
95	0.8506493051
96	0.8493932656
97	0.8477847621
98	0.8461658945
99	0.8434203657
100	0.8427244949
101	0.8412340116
102	0.8376386154
103	0.8360437024
104	0.8322032231
105	0.8312388512
106	0.8277599567
107	0.8263827424
108	0.8250067499
109	0.8225558579
110	0.8189761471
111	0.8183133233
112	0.8161591987
113	0.813469973
114	0.8107588139
115	0.8094404958
116	0.8073904899
117	0.8050833143
118	0.80299408
119	0.8017311408
120	0.8004677639
121	0.7983505822
122	0.7973016053
123	0.7949502775
124	0.7938854764
125	0.7933522697
126	0.7917743249
127	0.7908772203
128	0.7897502883
129	0.7882977732
130	0.7857419649
131	0.7850167004
132	0.7838161124
133	0.7813962988
134	0.7785096658
135	0.7773055483
136	0.7750318162
137	0.7730768196
138	0.7723213649
139	0.7700070936
140	0.7678561101
141	0.7665546379
142	0.7656314853
143	0.7648770153
144	0.7637764556
145	0.7632197612
146	0.761822918
147	0.7608190932
148	0.7588196291
149	0.7582244085
150	0.756269111
151	0.7552731867
152	0.7545813107
153	0.7531014509
154	0.752357603
155	0.7502256259
156	0.7494221515
157	0.7473663774
158	0.7461354415
159	0.7453544371
160	0.744798349
161	0.7414467642
162	0.7397967004
163	0.7395076866
164	0.7367370178
165	0.7346840082
166	0.7331199645
167	0.7314120301
168	0.7301311302
169	0.7289832674
170	0.727733285
171	0.7270530571
172	0.726572694
173	0.7260708023
174	0.7253185808
175	0.7250758902
176	0.7243326393
177	0.7238644885
178	0.7219578785
179	0.7207788303
180	0.719186033
181	0.7176413726
182	0.7155747225
183	0.7136495528
184	0.7133841421
185	0.7123615478
186	0.7114558051
187	0.7104938047
188	0.7098906823
189	0.7078182283
190	0.7069257172
191	0.706652926
192	0.7061608455
193	0.705048813
194	0.7047915106
195	0.702925682
196	0.7017263706
197	0.7009950274
198	0.7002483937
199	0.698743486
200	0.6974048668
201	0.6967347215
202	0.6955778102
203	0.6940153817
204	0.6925202436
205	0.6916433553
206	0.6911151659
207	0.6901798435
208	0.6891227717
209	0.6874084752
210	0.6861466555
211	0.6841652957
212	0.6835059005
213	0.6829573376
214	0.6811174518
215	0.6795930071
216	0.6778659895
217	0.6772017304
218	0.6767059937
219	0.6753277931
220	0.6747587162
221	0.6737936372
222	0.6732717138
223	0.6723462949
224	0.6710706392
225	0.6703581214
226	0.6698165519
227	0.6696291131
228	0.668613859
229	0.6681770962
230	0.6678142083
231	0.6662694235
232	0.6654941953
233	0.6643726104
234	0.6634545129
235	0.6630719041
236	0.66213163
237	0.6612908287
238	0.6609240247
239	0.6604910613
240	0.6602514001
241	0.660043379
242	0.659583468
243	0.659265415
244	0.6588357899
245	0.6584958564
246	0.6581790778
247	0.6577953953
248	0.6572514879
249	0.6567938401
250	0.6563491319
251	0.6553806725
252	0.6547004413
253	0.6544182145
254	0.6542606019
255	0.6539181635
256	0.6537165661
257	0.6534158243
258	0.6522847693
259	0.6519104752
260	0.6511757885
261	0.6508127143
262	0.6504859385
263	0.6501712258
264	0.6498445942
265	0.649541985
266	0.6492654972
267	0.6490073058
268	0.6479812487
269	0.6477685684
270	0.6476637865
271	0.6473752506
272	0.6470706997
273	0.6467878051
274	0.646574712
275	0.6452178058
276	0.6449238943
277	0.6442898007
278	0.6430784323
279	0.6429088279
280	0.6427835991
281	0.6423326661
282	0.6420824266
283	0.6417703042
284	0.6412218969
285	0.6409324942
286	0.6397629454
287	0.6392004776
288	0.6391197219
289	0.638291062
290	0.6380615974
291	0.6379878136
292	0.6375819664
293	0.6373118064
294	0.6370392461
295	0.6367708551
296	0.6361826829
297	0.6347855667
298	0.6342913716
299	0.6329602261
300	0.6319169036
301	0.6317534245
302	0.6315153273
303	0.6312952108
304	0.6298984401
305	0.629771339
306	0.6295611086
307	0.6288848132
308	0.6287117213
309	0.6285432123
310	0.6283473908
311	0.6281984443
312	0.6280633693
313	0.6279579357
314	0.6277623412
315	0.6266510248
316	0.6265262416
317	0.6254674847
318	0.6245269238
319	0.6243593565
320	0.624173626
321	0.6229158146
322	0.6227421489
323	0.622470835
324	0.6216269469
325	0.6210915079
326	0.6208344865
327	0.6207156591
328	0.620491484
329	0.6203601833
330	0.6195161354
331	0.6184734361
332	0.6173550223
333	0.6171801849
334	0.6161577083
335	0.6150882025
336	0.6146061499
337	0.6144771887
338	0.6142329545
339	0.6130807227
340	0.6128653118
341	0.6123271621
342	0.6119621552
343	0.6112886358
344	0.6111788466
345	0.6110443468
346	0.6098060872
347	0.6094832783
348	0.6093796776
349	0.6084331032
350	0.6067621106
351	0.6054384694
352	0.6045756479
353	0.6033431637
354	0.6031170776
355	0.6029892641
356	0.6015399344
357	0.601312132
358	0.6012341428
359	0.6010133601
360	0.6002788144
361	0.599018759
362	0.5979662578
363	0.5966902193
364	0.5960539083
365	0.5959666677
366	0.5949571236
367	0.5946240418
368	0.5945042453
369	0.593647221
370	0.5928688108
371	0.591633309
372	0.5908683852
373	0.5899583101
374	0.5887600355
375	0.5881561666
376	0.5880537665
377	0.5874573042
378	0.5867224784
379	0.585549935
380	0.5845887158
381	0.5845330525
382	0.5834191721
383	0.5832036954
384	0.5830829422
385	0.5824581453
386	0.5824193527
387	0.5813397746
388	0.5802555753
389	0.5801333368
390	0.5794501882
391	0.579314857
392	0.5791031938
393	0.578036608
394	0.5779685801
395	0.577480025
396	0.5772777116
397	0.5772326464
398	0.5762156944
399	0.5750971766
400	0.5746968915
401	0.573678709
402	0.5728414111
403	0.5721484307
404	0.5709591234
405	0.5708489901
406	0.5697119601
407	0.5693011825
408	0.5681887897
409	0.567216469
410	0.567108994
411	0.5658692032
412	0.565234554
413	0.5651020774
414	0.564052217
415	0.563204016
416	0.5622906212
417	0.5621007609
418	0.561926809
419	0.5610570902
420	0.560966841
421	0.559782636
422	0.5587136506
423	0.558417735
424	0.557488798
425	0.5568183959
426	0.5559329526
427	0.5552604826
428	0.5550264921
429	0.5546057878
430	0.5542510146
431	0.5532308721
432	0.5523812074
433	0.551822992
434	0.5512108883
435	0.5509894821
436	0.5509019751
437	0.5508495659
438	0.5506007837
439	0.5498313435
440	0.5496368362
441	0.5486689514
442	0.5483054448
443	0.5473617405
444	0.5469120575
445	0.5459703422
446	0.5451852286
447	0.5442875996
448	0.5441593347
449	0.5436775505
450	0.5429267284
451	0.5421522527
452	0.5418799513
453	0.541756405
454	0.5404102781
455	0.5397091944
456	0.5396008259
457	0.5387905403
458	0.537486778
459	0.5372585575
460	0.537194161
461	0.5364823868
462	0.5361130652
463	0.5350604562
464	0.5347280653
465	0.5342830016
466	0.5337632114
467	0.5328714713
468	0.532344564
469	0.5315991439
470	0.5314756389
471	0.5307422192
472	0.5304813336
473	0.5303809282
474	0.5294638629
475	0.5289009879
476	0.5279291802
477	0.5269917036
478	0.526273579
479	0.5260740506
480	0.5260411319
481	0.5251015636
482	0.5248445424
483	0.5239756669
484	0.5231933104
485	0.5230798079
486	0.5230195234
487	0.5223949486
488	0.5215348607
489	0.5213461472
490	0.5206443434
491	0.5196316561
492	0.5195013568
493	0.5186526143
494	0.5184777005
495	0.5176486185
496	0.5166167251
