Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-08-18 00:00:00-04:00,772.5579712024165,773.2755899130946,754.0884756033142,764.8631591796875,16513700,0.0,0.0
2025-08-19 00:00:00-04:00,764.613945820292,764.6637703117248,746.9119549568848,749.0250244140625,12286700,0.0,0.0
2025-08-20 00:00:00-04:00,745.1278092436016,747.7492222984731,728.6119336256934,745.2772827148438,11898200,0.0,0.0
2025-08-21 00:00:00-04:00,742.2771438441821,743.064541108265,730.7150031484181,736.6854248046875,8876300,0.0,0.0
2025-08-22 00:00:00-04:00,736.81505282597,754.4273720053774,731.9908982789533,752.32421875,10612700,0.0,0.0
2025-08-25 00:00:00-04:00,752.354165267511,756.40089964729,747.6794841015795,750.839111328125,6861200,0.0,0.0
2025-08-26 00:00:00-04:00,748.3472672479323,752.4039786334924,745.4966249237331,751.636474609375,7601800,0.0,0.0
2025-08-27 00:00:00-04:00,749.8423869559551,751.6863799088018,740.4133296583533,744.9384765625,8315400,0.0,0.0
2025-08-28 00:00:00-04:00,741.5695520935569,750.5899760103364,738.3799934657852,748.6563110351562,7468000,0.0,0.0
2025-08-29 00:00:00-04:00,742.845387064901,744.69929631257,732.9477723395529,736.286865234375,9070500,0.0,0.0
2025-09-02 00:00:00-04:00,723.6681793458474,733.595664312695,719.3722615167949,732.7085571289062,9350900,0.0,0.0
2025-09-03 00:00:00-04:00,733.5956541941185,737.8317704037993,731.5922106765231,734.6422119140625,7699300,0.0,0.0
2025-09-04 00:00:00-04:00,746.1245900119145,758.6734271200463,743.3835736708148,746.204345703125,11439100,0.0,0.0
2025-09-05 00:00:00-04:00,750.1613099282893,755.4739147328357,742.596139272426,749.9918823242188,9663400,0.0,0.0
2025-09-08 00:00:00-04:00,753.5302710608411,764.0059463353695,749.5632925404257,749.8423461914062,13087800,0.0,0.0
2025-09-09 00:00:00-04:00,755.0154070864886,763.7966239723705,750.9686728075005,763.1986083984375,10999000,0.0,0.0
2025-09-10 00:00:00-04:00,762.6305038555339,763.1986490989516,748.5466583985636,749.5234375,12478300,0.0,0.0
2025-09-11 00:00:00-04:00,752.184771170502,754.6267189634892,745.9252571616319,748.447021484375,7923300,0.0,0.0
2025-09-12 00:00:00-04:00,746.2840072815898,755.095155276553,741.330272625368,753.1216430664062,8248600,0.0,0.0
2025-09-15 00:00:00-04:00,754.995481759339,771.5412896866574,749.5334031898147,762.201904296875,10533800,0.0,0.0
2025-09-16 00:00:00-04:00,764.4944012192615,778.8074760600178,762.6005837137456,776.4552001953125,11782500,0.0,0.0
2025-09-17 00:00:00-04:00,777.4419223006557,780.7311297077449,763.8066193659058,773.1858520507812,9400900,0.0,0.0
2025-09-18 00:00:00-04:00,778.1994163857863,786.2032128794,770.8335437165625,777.7010498046875,10955000,0.0,0.0
2025-09-19 00:00:00-04:00,783.8509325355676,788.2166289656076,766.6772383880447,775.8372192382812,23696800,0.0,0.0
2025-09-22 00:00:00-04:00,779.8218176027002,783.6917575585782,762.4868973227559,763.1751098632812,11706900,0.525,0.0
2025-09-23 00:00:00-04:00,767.2545389947088,768.6010126974617,749.1217058463387,753.4404907226562,10872600,0.0,0.0
2025-09-24 00:00:00-04:00,755.5349916265823,759.1356124217834,750.5779133776451,758.686767578125,8828200,0.0,0.0
2025-09-25 00:00:00-04:00,751.4954858581857,754.8068807440363,742.6185490172081,746.9672241210938,10591100,0.0,0.0
2025-09-26 00:00:00-04:00,748.0544043789391,749.9793904076555,735.4371957410184,741.8206176757812,9696300,0.0,0.0
2025-09-29 00:00:00-04:00,746.7777648139662,748.832479543402,737.2326433015477,741.4716186523438,9246800,0.0,0.0
2025-09-30 00:00:00-04:00,740.3244937368279,741.0425967294805,724.4158582201331,732.4749145507812,16226800,0.0,0.0
2025-10-01 00:00:00-04:00,719.618385039583,719.9774365591268,708.3576941566364,715.4791870117188,20419600,0.0,0.0
2025-10-02 00:00:00-04:00,720.7055653205383,725.8821043267139,716.2770807321521,725.1639404296875,11415300,0.0,0.0
2025-10-03 00:00:00-04:00,727.7372737109582,729.1037149276121,708.3377167266436,708.7167358398438,16154300,0.0,0.0
